Sensor,Date_Time,Date,Time,Count
Bourke Street Mall (North),2020-07-07T14:00:00Z,2020-07-08,0,19
Bourke Street Mall (South),2020-07-07T14:00:00Z,2020-07-08,0,12
Melbourne Central,2020-07-07T14:00:00Z,2020-07-08,0,74
Town Hall (West),2020-07-07T14:00:00Z,2020-07-08,0,37
Princes Bridge,2020-07-07T14:00:00Z,2020-07-08,0,51
Flinders Street Station Underpass,2020-07-07T14:00:00Z,2020-07-08,0,31
Birrarung Marr,2020-07-07T14:00:00Z,2020-07-08,0,1
Webb Bridge,2020-07-07T14:00:00Z,2020-07-08,0,6
Southern Cross Station,2020-07-07T14:00:00Z,2020-07-08,0,1
Victoria Point,2020-07-07T14:00:00Z,2020-07-08,0,10
Waterfront City,2020-07-07T14:00:00Z,2020-07-08,0,8
New Quay,2020-07-07T14:00:00Z,2020-07-08,0,14
Flagstaff Station,2020-07-07T14:00:00Z,2020-07-08,0,NA
Sandridge Bridge,2020-07-07T14:00:00Z,2020-07-08,0,2
State Library,2020-07-07T14:00:00Z,2020-07-08,0,NA
Collins St (North),2020-07-07T14:00:00Z,2020-07-08,0,8
Collins Place (South),2020-07-07T14:00:00Z,2020-07-08,0,4
Collins Place (North),2020-07-07T14:00:00Z,2020-07-08,0,2
Chinatown-Swanston St (North),2020-07-07T14:00:00Z,2020-07-08,0,55
Chinatown-Lt Bourke St (South),2020-07-07T14:00:00Z,2020-07-08,0,25
Bourke St-Russell St (West),2020-07-07T14:00:00Z,2020-07-08,0,NA
Flinders St-Elizabeth St (East),2020-07-07T14:00:00Z,2020-07-08,0,92
Spencer St-Collins St (South),2020-07-07T14:00:00Z,2020-07-08,0,17
Spencer St-Collins St (North),2020-07-07T14:00:00Z,2020-07-08,0,71
Melbourne Convention Exhibition Centre,2020-07-07T14:00:00Z,2020-07-08,0,39
QV Market-Elizabeth St (West),2020-07-07T14:00:00Z,2020-07-08,0,54
QV Market-Peel St,2020-07-07T14:00:00Z,2020-07-08,0,3
The Arts Centre,2020-07-07T14:00:00Z,2020-07-08,0,41
St Kilda Rd-Alexandra Gardens,2020-07-07T14:00:00Z,2020-07-08,0,7
Lonsdale St (South),2020-07-07T14:00:00Z,2020-07-08,0,44
Lygon St (West),2020-07-07T14:00:00Z,2020-07-08,0,46
City Square,2020-07-07T14:00:00Z,2020-07-08,0,NA
Flinders St-Spring St (West),2020-07-07T14:00:00Z,2020-07-08,0,NA
Flinders St-Spark La,2020-07-07T14:00:00Z,2020-07-08,0,NA
Southbank,2020-07-07T14:00:00Z,2020-07-08,0,24
Queen St (West),2020-07-07T14:00:00Z,2020-07-08,0,24
Lygon St (East),2020-07-07T14:00:00Z,2020-07-08,0,18
Alfred Place,2020-07-07T14:00:00Z,2020-07-08,0,4
Lonsdale St-Spring St (West),2020-07-07T14:00:00Z,2020-07-08,0,9
Grattan St-Swanston St (West),2020-07-07T14:00:00Z,2020-07-08,0,12
Monash Rd-Swanston St (West),2020-07-07T14:00:00Z,2020-07-08,0,4
Tin Alley-Swanston St (West),2020-07-07T14:00:00Z,2020-07-08,0,2
Little Collins St-Swanston St (East),2020-07-07T14:00:00Z,2020-07-08,0,29
Flinders La-Swanston St (West),2020-07-07T14:00:00Z,2020-07-08,0,98
Pelham St (South),2020-07-07T14:00:00Z,2020-07-08,0,18
Melbourne Central-Elizabeth St (East),2020-07-07T14:00:00Z,2020-07-08,0,46
QVM-Queen St (East),2020-07-07T14:00:00Z,2020-07-08,0,14
QVM-Therry St (South),2020-07-07T14:00:00Z,2020-07-08,0,57
Faraday St-Lygon St (West),2020-07-07T14:00:00Z,2020-07-08,0,7
QVM-Franklin St (North),2020-07-07T14:00:00Z,2020-07-08,0,112
Elizabeth St-Lonsdale St (South),2020-07-07T14:00:00Z,2020-07-08,0,7
Lincoln-Swanston (W),2020-07-07T14:00:00Z,2020-07-08,0,3
Elizabeth St-La Trobe St (East),2020-07-07T14:00:00Z,2020-07-08,0,NA
Lonsdale St - Elizabeth St (North),2020-07-07T14:00:00Z,2020-07-08,0,26
Bourke St Bridge,2020-07-07T14:00:00Z,2020-07-08,0,4
Bourke St - Spencer St (North),2020-07-07T14:00:00Z,2020-07-08,0,37
RMIT Bld 80 - 445 Swanston Street,2020-07-07T14:00:00Z,2020-07-08,0,NA
Flinders La-Swanston St (West) Temporary,2020-07-07T14:00:00Z,2020-07-08,0,NA
RMIT Building 14,2020-07-07T14:00:00Z,2020-07-08,0,15
380 Elizabeth St,2020-07-07T14:00:00Z,2020-07-08,0,102
La Trobe St (North),2020-07-07T14:00:00Z,2020-07-08,0,NA
231 Bourke St,2020-07-07T14:00:00Z,2020-07-08,0,30
Royal Pde - Grattan St,2020-07-07T14:00:00Z,2020-07-08,0,4
Bourke Street Mall (North),2020-07-07T15:00:00Z,2020-07-08,1,19
Bourke Street Mall (South),2020-07-07T15:00:00Z,2020-07-08,1,7
Melbourne Central,2020-07-07T15:00:00Z,2020-07-08,1,86
Town Hall (West),2020-07-07T15:00:00Z,2020-07-08,1,35
Princes Bridge,2020-07-07T15:00:00Z,2020-07-08,1,32
Flinders Street Station Underpass,2020-07-07T15:00:00Z,2020-07-08,1,37
Birrarung Marr,2020-07-07T15:00:00Z,2020-07-08,1,4
Webb Bridge,2020-07-07T15:00:00Z,2020-07-08,1,6
Southern Cross Station,2020-07-07T15:00:00Z,2020-07-08,1,3
Victoria Point,2020-07-07T15:00:00Z,2020-07-08,1,3
Waterfront City,2020-07-07T15:00:00Z,2020-07-08,1,5
New Quay,2020-07-07T15:00:00Z,2020-07-08,1,9
Flagstaff Station,2020-07-07T15:00:00Z,2020-07-08,1,NA
Sandridge Bridge,2020-07-07T15:00:00Z,2020-07-08,1,NA
State Library,2020-07-07T15:00:00Z,2020-07-08,1,NA
Collins St (North),2020-07-07T15:00:00Z,2020-07-08,1,7
Collins Place (South),2020-07-07T15:00:00Z,2020-07-08,1,2
Collins Place (North),2020-07-07T15:00:00Z,2020-07-08,1,6
Chinatown-Swanston St (North),2020-07-07T15:00:00Z,2020-07-08,1,31
Chinatown-Lt Bourke St (South),2020-07-07T15:00:00Z,2020-07-08,1,5
Bourke St-Russell St (West),2020-07-07T15:00:00Z,2020-07-08,1,NA
Flinders St-Elizabeth St (East),2020-07-07T15:00:00Z,2020-07-08,1,84
Spencer St-Collins St (South),2020-07-07T15:00:00Z,2020-07-08,1,11
Spencer St-Collins St (North),2020-07-07T15:00:00Z,2020-07-08,1,20
Melbourne Convention Exhibition Centre,2020-07-07T15:00:00Z,2020-07-08,1,36
QV Market-Elizabeth St (West),2020-07-07T15:00:00Z,2020-07-08,1,69
QV Market-Peel St,2020-07-07T15:00:00Z,2020-07-08,1,NA
The Arts Centre,2020-07-07T15:00:00Z,2020-07-08,1,23
St Kilda Rd-Alexandra Gardens,2020-07-07T15:00:00Z,2020-07-08,1,7
Lonsdale St (South),2020-07-07T15:00:00Z,2020-07-08,1,18
Lygon St (West),2020-07-07T15:00:00Z,2020-07-08,1,9
City Square,2020-07-07T15:00:00Z,2020-07-08,1,NA
Flinders St-Spring St (West),2020-07-07T15:00:00Z,2020-07-08,1,NA
Flinders St-Spark La,2020-07-07T15:00:00Z,2020-07-08,1,2
Southbank,2020-07-07T15:00:00Z,2020-07-08,1,10
Queen St (West),2020-07-07T15:00:00Z,2020-07-08,1,8
Lygon St (East),2020-07-07T15:00:00Z,2020-07-08,1,8
Alfred Place,2020-07-07T15:00:00Z,2020-07-08,1,NA
Lonsdale St-Spring St (West),2020-07-07T15:00:00Z,2020-07-08,1,4
Grattan St-Swanston St (West),2020-07-07T15:00:00Z,2020-07-08,1,6
Monash Rd-Swanston St (West),2020-07-07T15:00:00Z,2020-07-08,1,3
Tin Alley-Swanston St (West),2020-07-07T15:00:00Z,2020-07-08,1,2
Little Collins St-Swanston St (East),2020-07-07T15:00:00Z,2020-07-08,1,21
Flinders La-Swanston St (West),2020-07-07T15:00:00Z,2020-07-08,1,60
Pelham St (South),2020-07-07T15:00:00Z,2020-07-08,1,9
Melbourne Central-Elizabeth St (East),2020-07-07T15:00:00Z,2020-07-08,1,35
QVM-Queen St (East),2020-07-07T15:00:00Z,2020-07-08,1,2
QVM-Therry St (South),2020-07-07T15:00:00Z,2020-07-08,1,61
Faraday St-Lygon St (West),2020-07-07T15:00:00Z,2020-07-08,1,4
QVM-Franklin St (North),2020-07-07T15:00:00Z,2020-07-08,1,9
Elizabeth St-Lonsdale St (South),2020-07-07T15:00:00Z,2020-07-08,1,6
Lincoln-Swanston (W),2020-07-07T15:00:00Z,2020-07-08,1,1
Elizabeth St-La Trobe St (East),2020-07-07T15:00:00Z,2020-07-08,1,NA
Lonsdale St - Elizabeth St (North),2020-07-07T15:00:00Z,2020-07-08,1,13
Bourke St Bridge,2020-07-07T15:00:00Z,2020-07-08,1,6
Bourke St - Spencer St (North),2020-07-07T15:00:00Z,2020-07-08,1,13
RMIT Bld 80 - 445 Swanston Street,2020-07-07T15:00:00Z,2020-07-08,1,NA
Flinders La-Swanston St (West) Temporary,2020-07-07T15:00:00Z,2020-07-08,1,NA
RMIT Building 14,2020-07-07T15:00:00Z,2020-07-08,1,11
380 Elizabeth St,2020-07-07T15:00:00Z,2020-07-08,1,96
La Trobe St (North),2020-07-07T15:00:00Z,2020-07-08,1,NA
231 Bourke St,2020-07-07T15:00:00Z,2020-07-08,1,23
Royal Pde - Grattan St,2020-07-07T15:00:00Z,2020-07-08,1,2
Bourke Street Mall (North),2020-07-07T16:00:00Z,2020-07-08,2,4
Bourke Street Mall (South),2020-07-07T16:00:00Z,2020-07-08,2,6
Melbourne Central,2020-07-07T16:00:00Z,2020-07-08,2,52
Town Hall (West),2020-07-07T16:00:00Z,2020-07-08,2,15
Princes Bridge,2020-07-07T16:00:00Z,2020-07-08,2,18
Flinders Street Station Underpass,2020-07-07T16:00:00Z,2020-07-08,2,7
Birrarung Marr,2020-07-07T16:00:00Z,2020-07-08,2,NA
Webb Bridge,2020-07-07T16:00:00Z,2020-07-08,2,4
Southern Cross Station,2020-07-07T16:00:00Z,2020-07-08,2,5
Victoria Point,2020-07-07T16:00:00Z,2020-07-08,2,NA
Waterfront City,2020-07-07T16:00:00Z,2020-07-08,2,NA
